,last
639,24975
640,24979
641,24975
642,24972
643,24969
644,24968
645,24965
646,24963
647,24963
648,24965
649,24964
650,24961
651,24962
652,24963
653,24963
654,24968
655,24969
656,24971
657,24974
658,24973
659,24970
660,24972
661,24972
662,24978
663,24975
664,24978
665,24980
666,24980
667,24974
668,24972
669,24968
670,24962
671,24961
672,24962
673,24966
674,24965
675,24962
676,24963
677,24963
678,24959
679,24963
680,24962
681,24960
682,24965
683,24963
684,24960
685,24959
686,24959
687,24960
688,24963
689,24963
690,24967
691,24969
692,24972
693,24976
694,24975
695,24976
696,24979
697,24979
698,24980
699,24983
700,24984
701,24983
702,24982
703,24982
704,24979
705,24978
706,24975
707,24979
708,24975
709,24980
710,24981
711,24980
712,24980
713,24982
714,24984
715,24983
716,24985
717,24984
718,24985
719,24982
720,24982
721,24979
722,24978
723,24982
724,24982
725,24982
726,24984
727,24985
728,24986
729,24988
730,24990
731,24992
732,24991
733,24993
734,24995
735,24995
736,24996
737,24994
738,24998
739,24999
740,25000
741,24999
742,25003
743,25007
744,25004
745,25003
746,25006
747,25005
748,25007
749,25009
750,25010
751,25008
752,25009
753,25007
754,25005
755,25006
756,25007
757,25012
758,25014
759,25013
760,25011
761,25013
762,25012
763,25007
764,25010
765,25010
766,25010
767,25009
768,25009
769,25006
770,25005
771,25001
772,25000
773,24998
774,24994
775,24996
776,24996
777,24999
778,25000
779,24998
780,24995
781,24996
782,24996
783,24999
784,24999
785,25000
786,24997
787,24998
788,25003
789,25007
790,25009
791,25011
792,25015
793,25016
794,25018
795,25020
796,25020
797,25020
798,25021
799,25021
800,25020
801,25017
802,25016
803,25015
804,25018
805,25024
806,25024
807,25019
808,25022
809,25023
810,25021
811,25017
812,25017
813,25014
814,25009
815,25005
816,25001
817,25003
818,25002
819,25008
820,25011
821,25009
822,25015
823,25020
824,25023
825,25025
826,25026
827,25028
828,25030
829,25032
830,25032
831,25032
832,25028
833,25026
834,25024
835,25025
836,25027
837,25028
838,25026
839,25027
840,25029
841,25032
842,25029
843,25026
844,25024
845,25025
846,25023
847,25020
848,25019
849,25017
850,25016
851,25019
852,25017
853,25014
854,25009
855,25006
856,25015
857,25012
858,25012
859,25012
860,25010
861,25016
862,25016
863,25013
864,25017
865,25011
866,25010
867,25014
868,25012
869,25017
870,25018
871,25020
872,25020
873,25020
874,25022
875,25022
876,25022
877,25024
878,25021
879,25019
880,25016
881,25014
882,25011
883,25011
884,25008
885,25008
886,25005
887,25010
888,25008
889,25013
890,25016
891,25018
892,25017
893,25013
894,25017
895,25020
896,25024
897,25024
898,25022
899,25025
900,25026
901,25022
902,25020
903,25020
904,25015
905,25018
906,25023
907,25022
908,25021
909,25022
910,25025
911,25026
912,25027
913,25030
914,25026
915,25026
916,25026
917,25025
918,25026
919,25029
920,25031
921,25031
922,25027
923,25034
924,25035
925,25037
926,25038
927,25040
928,25043
929,25040
930,25044
931,25043
932,25041
933,25040
934,25035
935,25037
936,25034
937,25031
938,25028
939,25031
940,25034
941,25036
942,25036
943,25035
944,25041
945,25043
946,25042
947,25042
948,25041
949,25040
950,25041
951,25045
952,25044
953,25045
954,25049
955,25048
956,25051
957,25050
958,25044
959,25041
960,25039
961,25035
962,25039
963,25043
964,25045
965,25044
966,25042
967,25042
968,25042
969,25044
970,25040
971,25040
972,25039
973,25037
974,25034
975,25031
976,25038
977,25038
978,25033
979,25034
980,25032
981,25033
982,25037
983,25036
984,25036
985,25041
986,25045
987,25045
988,25047
989,25047
990,25047
991,25044
992,25045
993,25049
994,25050
995,25051
996,25052
997,25051
998,25054
999,25055
1000,25053
1001,25053
1002,25047
1003,25045
1004,25044
1005,25042
1006,25044
1007,25039
1008,25040
1009,25039
1010,25041
1011,25036
1012,25033
1013,25034
1014,25037
1015,25036
1016,25040
1017,25041
1018,25041
1019,25046
1020,25044
1021,25045
1022,25044
1023,25038
1024,25038
1025,25035
1026,25039
1027,25036
1028,25038
1029,25042
1030,25044
1031,25049
1032,25051
1033,25052
1034,25051
1035,25048
1036,25050
1037,25048
1038,25047
1039,25041
1040,25039
1041,25036
1042,25034
1043,25037
1044,25037
1045,25040
1046,25040
1047,25041
1048,25044
1049,25043
1050,25045
1051,25045
1052,25042
1053,25038
1054,25034
1055,25033
1056,25035
1057,25036
1058,25030
1059,25035
1060,25036
1061,25035
1062,25038
1063,25038
1064,25040
1065,25045
1066,25047
1067,25042
1068,25045
1069,25045
1070,25045
1071,25043
1072,25038
1073,25037
1074,25039
1075,25037
1076,25036
1077,25031
1078,25030
1079,25028
1080,25028
1081,25028
1082,25033
1083,25038
1084,25037
1085,25037
1086,25036
1087,25034
1088,25031
1089,25038
1090,25039
1091,25034
1092,25036
1093,25040
1094,25042
1095,25040
1096,25038
1097,25038
1098,25037
1099,25037
1100,25041
1101,25040
1102,25036
1103,25035
1104,25037
1105,25039
1106,25040
1107,25037
1108,25036
1109,25036
1110,25038
1111,25035
1112,25035
1113,25033
1114,25031
1115,25032
1116,25036
1117,25037
1118,25034
1119,25040
1120,25043
1121,25045
1122,25046
1123,25050
1124,25050
1125,25050
1126,25045
1127,25046
1128,25045
1129,25044
1130,25044
1131,25050
1132,25049
1133,25046
1134,25045
1135,25044
1136,25050
1137,25050
1138,25052
1139,25053
1140,25055
1141,25056
1142,25059
1143,25060
1144,25060
1145,25062
1146,25064
1147,25065
1148,25065
1149,25068
1150,25062
1151,25065
1152,25067
1153,25062
1154,25069
1155,25069
1156,25070
1157,25072
1158,25074
1159,25063
1160,25079
1161,25071
1162,25074
1163,25080
1164,25082
1165,25085
1166,25073
1167,25079
1168,25075
1169,25075
1170,25073
1171,25076
1172,25085
1173,25088
1174,25083
1175,25088
1176,25077
1177,25075
1178,25067
1179,25069
1180,25076
1181,25077
1182,25074
1183,25073
1184,25074
1185,25076
1186,25078
1187,25081
1188,25076
1189,25075
1190,25079
1191,25080
1192,25077
1193,25076
1194,25079
1195,25078
1196,25076
1197,25078
1198,25080
1199,25080
1200,25083
1201,25082
1202,25082
1203,25079
1204,25077
1205,25075
1206,25073
1207,25077
1208,25073
1209,25076
1210,25074
1211,25080
1212,25077
1213,25077
1214,25074
1215,25071
1216,25069
1217,25073
1218,25074
1219,25074
1220,25074
1221,25074
1222,25077
1223,25077
1224,25076
1225,25073
1226,25070
1227,25071
1228,25069
1229,25067
1230,25066
1231,25068
1232,25065
1233,25065
1234,25066
1235,25064
1236,25066
1237,25070
1238,25069
1239,25069
1240,25069
1241,25070
1242,25070
1243,25069
1244,25075
1245,25075
1246,25079
1247,25079
1248,25077
1249,25080
1250,25079
1251,25077
1252,25080
1253,25075
1254,25073
1255,25071
1256,25070
1257,25072
1258,25068
1259,25069
1260,25066
1261,25066
1262,25065
1263,25064
1264,25063
1265,25064
1266,25062
1267,25060
1268,25059
1269,25056
1270,25060
1271,25055
1272,25056
1273,25063
1274,25064
1275,25064
1276,25061
1277,25061
1278,25059
1279,25063
1280,25067
1281,25070
1282,25068
1283,25068
1284,25069
1285,25073
1286,25075
1287,25073
1288,25070
1289,25067
1290,25066
1291,25065
1292,25061
1293,25061
1294,25060
1295,25060
1296,25055
1297,25055
1298,25057
1299,25056
1300,25053
1301,25055
1302,25053
1303,25052
1304,25050
1305,25051
1306,25053
1307,25055
1308,25055
1309,25055
1310,25055
1311,25056
1312,25056
1313,25055
1314,25060
1315,25057
1316,25063
1317,25060
1318,25060
1319,25063
1320,25063
1321,25063
1322,25061
1323,25059
1324,25057
1325,25058
1326,25055
1327,25053
1328,25057
1329,25059
1330,25060
1331,25055
1332,25056
1333,25058
1334,25056
1335,25057
1336,25064
1337,25064
1338,25065
1339,25067
1340,25068
1341,25068
1342,25065
1343,25063
1344,25064
1345,25070
1346,25072
1347,25073
1348,25071
1349,25067
1350,25065
1351,25062
1352,25061
1353,25061
1354,25061
1355,25060
1356,25060
1357,25060
1358,25064
1359,25065
1360,25062
1361,25056
1362,25059
1363,25060
1364,25058
1365,25062
1366,25060
1367,25059
1368,25057
1369,25056
1370,25056
1371,25053
1372,25054
1373,25053
1374,25051
1375,25050
1376,25050
1377,25048
1378,25047
1379,25049
1380,25051
1381,25050
1382,25049
1383,25049
1384,25052
1385,25053
1386,25053
1387,25056
1388,25058
1389,24600
1390,25061
1391,25058
1392,25059
1393,25063
1394,25061
1395,25060
1396,25065
1397,25066
1398,25063
1399,25065
1400,25066
1401,25066
1402,25066
1403,25070
1404,25066
1405,25068
1406,25067
1407,25065
1408,25066
1409,25068
1410,25065
1411,25067
1412,25068
1413,25068
1414,25068
1415,25070
1416,25070
1417,25069
1418,25070
1419,25071
1420,25073
1421,25072
1422,25074
1423,25075
1424,25073
1425,25075
1426,25075
1427,25078
1428,25079
1429,25080
1430,25081
1431,25083
1432,25082
1433,25080
1434,25077
1435,25075
1436,25071
1437,25070
1438,25067
1439,25065
1440,25067
1441,25070
1442,25070
1443,25069
1444,25075
1445,25078
1446,25077
1447,25082
1448,25079
1449,25081
1450,25082
1451,25076
1452,25076
1453,25073
1454,25076
1455,25073
1456,25071
1457,25070
1458,25064
1459,25068
1460,25068
1461,25072
1462,25072
1463,25076
1464,25073
1465,25078
1466,25081
1467,25080
1468,25082
1469,25084
1470,25080
1471,25079
1472,25083
1473,25083
1474,25080
1475,25080
1476,25083
1477,25083
1478,25085
1479,25088
1480,25088
1481,25090
1482,25088
1483,25090
1484,25093
1485,25092
1486,25095
1487,25091
1488,25092
1489,25092
1490,25091
1491,25088
1492,25088
1493,25087
1494,25084
1495,25086
1496,25086
1497,25082
1498,25080
1499,25079
1500,25078
1501,25076
1502,25081
1503,25076
1504,25075
1505,25073
1506,25071
1507,25073
1508,25074
1509,25075
1510,25073
1511,25070
1512,25070
1513,25068
1514,25067
1515,25065
1516,25067
1517,25068
1518,25068
1519,25066
1520,25063
1521,25061
1522,25069
1523,25072
1524,25070
1525,25068
1526,25068
1527,25068
1528,25068
1529,25065
1530,25065
1531,25066
1532,25062
1533,25061
1534,25063
1535,25065
1536,25065
1537,25065
1538,25063
1539,25065
1540,25066
1541,25062
1542,25061
1543,25063
1544,25066
1545,25065
1546,25065
1547,25071
1548,25071
1549,25069
1550,25068
1551,25066
1552,25064
1553,25066
1554,25061
1555,25064
1556,25063
1557,25063
1558,25067
1559,25071
1560,25072
1561,25070
1562,25070
1563,25074
1564,25076
1565,25071
1566,25071
1567,25071
1568,25067
1569,25070
1570,25067
1571,25063
1572,25068
1573,25061
1574,25062
1575,25061
1576,25060
1577,25060
1578,25059
1579,25059
1580,25060
1581,25061
1582,25063
1583,25065
1584,25060
1585,25059
1586,25056
1587,25055
1588,25056
1589,25057
1590,25058
1591,25056
1592,25056
1593,25057
1594,25057
1595,25056
1596,25057
1597,25055
1598,25054
1599,25053
1600,25058
1601,25055
1602,25060
1603,25060
1604,25060
1605,25064
1606,25062
1607,25067
1608,25070
1609,25065
1610,25069
1611,25065
1612,25067
1613,25069
1614,25067
1615,25066
1616,25062
1617,25064
1618,25063
1619,25060
1620,25064
1621,25068
1622,25070
1623,25069
1624,25070
1625,25072
1626,25070
1627,25068
1628,25068
1629,25070
1630,25067
1631,25066
1632,25069
1633,25066
1634,25061
1635,25065
1636,25063
1637,25061
1638,25058
1639,25060
1640,25058
1641,25056
1642,25060
1643,25060
1644,25060
1645,25060
1646,25057
1647,25055
1648,25054
1649,25052
1650,25052
1651,25053
1652,25050
1653,25050
1654,25048
1655,25048
1656,25045
1657,25042
1658,25043
1659,25040
1660,25049
1661,25048
1662,25048
1663,25047
1664,25046
1665,25042
1666,25043
1667,25041
1668,25045
1669,25043
1670,25044
1671,25044
1672,25044
1673,25046
1674,25046
1675,25045
1676,25042
1677,25040
1678,25040
1679,25038
1680,25038
1681,25038
1682,25041
1683,25045
1684,25046
1685,25049
1686,25048
1687,25051
1688,25054
1689,25049
1690,25048
1691,25050
1692,25049
1693,25053
1694,25054
1695,25052
1696,25051
1697,25048
